City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (deg C)
0,edinburgh of the seven seas,-37.0676,-12.3116,286.01,76,38,12.84,SH,1728598298,12.759999999999991
1,port-aux-francais,-49.35,70.2167,274.83,94,83,17.55,TF,1728598026,1.579999999999984
2,ushuaia,-54.8,-68.3,278.17,84,99,1.33,AR,1728598150,4.920000000000016
3,bredasdorp,-34.5322,20.0403,285.71,82,100,2.1,ZA,1728598301,12.45999999999998
4,adamstown,-25.066,-130.1015,294.28,86,100,7.72,PN,1728598302,21.029999999999973
5,puerto natales,-51.7236,-72.4875,280.4,61,75,8.75,CL,1728598303,7.149999999999977
6,port elizabeth,-33.918,25.5701,288.88,93,89,1.79,ZA,1728598304,15.629999999999995
7,waitangi,-43.9535,-176.5597,284.16,71,78,1.79,NZ,1728598305,10.910000000000025
8,grytviken,-54.2811,-36.5092,272.09,95,100,2.33,GS,1728598306,-1.160000000000025
9,blackmans bay,-43.0167,147.3167,285.78,59,85,2.68,AU,1728598308,12.529999999999973
10,punta arenas,-53.15,-70.9167,280.21,65,75,7.2,CL,1728598309,6.9599999999999795
11,hermanus,-34.4187,19.2345,287.81,78,99,2.47,ZA,1728598310,14.560000000000002
12,albany,42.6001,-73.9662,283.47,64,12,1.34,US,1728598123,10.220000000000027
13,port alfred,-33.5906,26.891,288.81,89,100,0.89,ZA,1728598312,15.560000000000002
14,papatowai,-46.5619,169.4708,287.51,45,38,5.86,NZ,1728598313,14.259999999999991
15,invercargill,-46.4,168.35,287.05,62,55,4.92,NZ,1728598314,13.800000000000011
16,margaret river,-33.95,115.0667,287.4,65,34,4.59,AU,1728598315,14.149999999999977
17,east london,-33.0153,27.9116,291.89,81,98,8.21,ZA,1728598317,18.639999999999986
18,constantia,44.1833,28.65,289.65,63,72,2.02,RO,1728598318,16.399999999999977
19,chonchi,-42.6128,-73.8092,284.88,72,95,1.43,CL,1728598319,11.629999999999995
20,quellon,-43.1167,-73.6167,282.83,72,90,1.35,CL,1728598320,9.579999999999984
21,stanley,54.868,-1.6985,275.16,88,0,2.06,GB,1728598098,1.910000000000025
22,sarmiento,-45.5882,-69.07,286.69,27,76,11.55,AR,1728598322,13.439999999999998
23,rio grande,-32.035,-52.0986,290.21,92,100,10.16,BR,1728598323,16.95999999999998
24,plettenberg bay,-34.0527,23.3716,287.32,82,100,3.1,ZA,1728598044,14.069999999999993
25,lebu,-37.6167,-73.65,285.54,92,41,3.41,CL,1728598325,12.29000000000002
26,port macquarie,-31.4333,152.9167,292.08,75,3,1.13,AU,1728598326,18.829999999999984
27,sale,34.0389,-6.8166,292.53,94,10,0.0,MA,1728598328,19.279999999999973
28,afaahiti,-17.75,-149.2833,294.57,95,100,6.0,PF,1728598329,21.319999999999993
29,healesville,-37.65,145.5167,283.4,89,31,1.29,AU,1728598330,10.149999999999977
30,constitucion,-35.3333,-72.4167,286.68,75,81,4.14,CL,1728598256,13.430000000000007
31,el trebol,-32.2008,-61.7014,294.31,39,100,1.4,AR,1728598332,21.060000000000002
32,kingston,17.997,-76.7936,303.8,77,95,1.53,JM,1728598319,30.55000000000001
33,santa elena,-2.2333,-80.85,295.9,83,75,5.66,EC,1728598334,22.649999999999977
34,mar del plata,-38.0023,-57.5575,289.0,89,43,8.05,AR,1728598258,15.75
