City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,5.360000000000014,68,78,1.79,US,1729049637
1,port-aux-francais,-49.35,70.2167,0.6000000000000227,70,87,16.18,TF,1729049639
2,adamstown,-25.066,-130.1015,21.27000000000004,88,98,6.71,PN,1729049640
3,grytviken,-54.2811,-36.5092,3.07000000000005,77,100,2.93,GS,1729049641
4,ushuaia,-54.8,-68.3,5.810000000000002,61,40,11.32,AR,1729049518
5,puerto natales,-51.7236,-72.4875,3.480000000000018,92,23,1.8,CL,1729049464
6,punta arenas,-53.15,-70.9167,2.0600000000000023,80,0,4.12,CL,1729049644
7,waitangi,-43.9535,-176.5597,9.900000000000034,81,72,2.68,NZ,1729049645
8,blackmans bay,-43.0167,147.3167,22.07000000000005,40,79,2.24,AU,1729049646
9,papatowai,-46.5619,169.4708,10.03000000000003,59,7,3.14,NZ,1729049648
10,invercargill,-46.4,168.35,13.340000000000032,58,1,0.89,NZ,1729049649
11,bredasdorp,-34.5322,20.0403,10.660000000000025,90,0,2.45,ZA,1729049650
12,port elizabeth,-33.918,25.5701,15.170000000000016,82,0,11.32,ZA,1729049651
13,edinburgh of the seven seas,-37.0676,-12.3116,11.650000000000034,65,3,3.8,SH,1729049652
14,stanley,54.868,-1.6985,11.82000000000005,97,100,3.09,GB,1729049653
15,port lincoln,-34.7333,135.8667,21.260000000000048,70,49,4.67,AU,1729049654
16,dunedin,-45.8742,170.5036,11.560000000000002,67,0,1.34,NZ,1729049655
17,puerto deseado,-47.7503,-65.8938,14.090000000000032,47,95,4.52,AR,1729049656
18,christchurch,-43.5333,172.6333,15.230000000000018,58,20,3.09,NZ,1729049508
19,hermanus,-34.4187,19.2345,12.240000000000009,81,0,5.75,ZA,1729049659
20,margaret river,-33.95,115.0667,17.629999999999995,64,100,6.14,AU,1729049660
21,thames,-37.1333,175.5333,16.230000000000018,60,100,2.39,NZ,1729049661
22,port alfred,-33.5906,26.891,14.54000000000002,82,12,4.02,ZA,1729049662
23,scottburgh,-30.2867,30.7532,16.25,69,97,2.18,ZA,1729049663
24,constantia,44.1833,28.65,10.390000000000043,78,75,8.92,RO,1729049664
25,saldanha,-33.0117,17.9442,12.03000000000003,75,1,6.88,ZA,1729049665
26,tolanaro,-25.0319,46.9987,19.04000000000002,94,75,4.12,MG,1729049667
27,kerikeri,-35.2268,173.9474,15.150000000000034,71,100,2.5,NZ,1729049668
28,saint-philippe,-21.3585,55.7679,23.29000000000002,76,3,1.22,RE,1729049669
29,tsiombe,-25.3,45.4833,19.420000000000016,77,94,5.58,MG,1729049670
30,avarua,-21.2078,-159.775,24.03000000000003,57,75,3.09,CK,1729049671
31,lebu,-37.6167,-73.65,9.920000000000016,84,99,2.15,CL,1729049672
32,quellon,-43.1167,-73.6167,7.57000000000005,85,56,1.42,CL,1729049673
33,margate,51.3813,1.3862,13.82000000000005,89,98,0.89,GB,1729049461
34,port mathurin,-19.6833,63.4167,23.120000000000005,75,97,6.78,MU,1729049676
35,ancud,-41.8697,-73.8203,7.970000000000027,83,91,1.81,CL,1729049677
36,queenstown,-31.8976,26.8753,5.770000000000039,84,3,0.43,ZA,1729049678
37,west island,-12.1568,96.8225,27.99000000000001,78,40,6.17,CC,1729049679
38,port macquarie,-31.4333,152.9167,16.150000000000034,90,100,1.05,AU,1729049680
39,villa gesell,-37.2639,-56.973,13.189999999999998,93,31,5.97,AR,1729049681
40,arraial do cabo,-22.9661,-42.0278,21.450000000000045,84,100,7.79,BR,1729049682
41,kawerau,-38.1,176.7,17.49000000000001,53,50,1.79,NZ,1729049683
42,mount gambier,-37.8333,140.7667,25.629999999999995,48,100,1.3,AU,1729049685
43,laguna,38.421,-121.4238,22.08000000000004,62,0,2.57,US,1729049686
44,san jose de jachal,-30.2406,-68.7469,21.689999999999998,55,60,0.64,AR,1729049687
45,hermoso campo,-27.6082,-61.3444,20.53000000000003,91,15,2.36,AR,1729049618
46,ta`u,-14.2336,-169.5144,26.5,71,65,8.06,AS,1729049689
47,jamestown,42.097,-79.2353,6.1200000000000045,88,100,4.12,US,1729049690
48,tocopilla,-22.092,-70.1979,16.58000000000004,78,3,1.14,CL,1729049691
49,san julian,21.0167,-102.1667,15.810000000000002,49,1,2.88,MX,1729049692
50,afaahiti,-17.75,-149.2833,23.629999999999995,73,39,2.71,PF,1729049694
51,saint-pierre,-21.3393,55.4781,22.82000000000005,64,0,2.06,RE,1729049695
52,andovoranto,-18.95,49.1,23.379999999999995,80,54,2.48,MG,1729049696
53,beira,-19.8436,34.8389,22.05000000000001,88,75,2.57,MZ,1729049697
54,oruro,-17.9833,-67.15,8.450000000000045,60,96,5.76,BO,1729049698
55,lichtenburg,-26.152,26.1597,12.890000000000043,87,85,6.75,ZA,1729049700
56,tadine,-21.55,167.8833,21.640000000000043,86,100,6.26,NC,1729049702
57,georgetown,5.4112,100.3354,27.970000000000027,74,40,3.6,MY,1729049582
58,sao joao da barra,-21.6403,-41.0511,22.640000000000043,80,100,3.94,BR,1729049704
59,vila velha,-20.3297,-40.2925,22.189999999999998,87,75,1.03,BR,1729049705
60,challapata,-18.9,-66.7667,7.980000000000018,63,99,7.74,BO,1729049706
61,callao,-12.0667,-77.15,18.730000000000018,77,100,6.17,PE,1729049599
